# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb 18 00:44:33 2017
#
# CONSTRAINT:  where (pl_orbper not null
# CONSTRAINT:  and pl_bmassj not null
# CONSTRAINT:  and pl_radj not null
# CONSTRAINT:  and st_teff not null
# CONSTRAINT:  )
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_name:        Planet Name
#
#rowid,pl_orbper,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_teff,pl_name
15,7336.50000000,20.95000,Mass,0.920,,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,2300.00,2MASS J21402931+1625183 A b
28,0.73653900,0.02542,Mass,0.170,6.40000,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,5196.00,55 Cnc e
48,41.68550000,0.05129,Mass,0.199,7.89000,03h34m36.23s,53.650966,+20d35m57.2s,20.599232,5766.00,BD+20 594 b
62,1.50895570,1.03000,Mass,1.490,0.38000,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,5950.00,CoRoT-1 b
63,13.24060000,2.75000,Mass,0.970,3.70000,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,5075.00,CoRoT-10 b
64,2.99433000,2.33000,Mass,1.430,0.99000,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,6440.00,CoRoT-11 b
65,2.82804200,0.91700,Mass,1.440,0.41100,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,5675.00,CoRoT-12 b
66,4.03519000,1.30800,Mass,0.885,2.34000,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,5945.00,CoRoT-13 b
67,1.51214000,7.60000,Mass,1.090,7.30000,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,6035.00,CoRoT-14 b
68,5.35227000,0.53500,Mass,1.170,0.44000,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,5650.00,CoRoT-16 b
69,3.76810000,2.43000,Mass,1.020,2.82000,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,5740.00,CoRoT-17 b
70,1.90006930,3.47000,Mass,1.310,2.20000,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,5440.00,CoRoT-18 b
71,3.89713000,1.11000,Mass,1.290,0.71000,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,6090.00,CoRoT-19 b
72,1.74299350,3.47000,Mass,1.466,1.47000,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,5625.00,CoRoT-2 b
73,9.24285000,4.24000,Mass,0.840,8.87000,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,5880.00,CoRoT-20 b
74,9.75598000,0.03800,Mass,0.435,0.24900,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,5939.00,CoRoT-22 b
75,3.63130000,2.80000,Mass,1.050,3.00000,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,5900.00,CoRoT-23 b
76,5.11340000,0.01800,Mass,0.330,0.90000,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,4950.00,CoRoT-24 b
77,11.75900000,0.08800,Mass,0.440,1.30000,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,4950.00,CoRoT-24 c
78,4.86069000,0.27000,Mass,1.080,0.15000,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,6040.00,CoRoT-25 b
79,4.20474000,0.52000,Mass,1.260,0.28000,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,5590.00,CoRoT-26 b
80,3.57532000,10.39000,Mass,1.007,12.60000,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,5900.00,CoRoT-27 b
81,5.20851000,0.48400,Mass,0.955,0.69000,18h34m45.20s,278.688338,+05d34m25.4s,5.573730,5150.00,CoRoT-28 b
82,2.85057000,0.85000,Mass,0.900,1.45000,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,5260.00,CoRoT-29 b
83,4.25680000,21.66000,Mass,1.010,26.40000,19h28m13.26s,292.055263,+00d07m18.6s,0.121820,6740.00,CoRoT-3 b
84,9.20205000,0.72000,Mass,1.190,0.52500,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,6190.00,CoRoT-4 b
85,4.03789620,0.46700,Mass,1.388,0.21700,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,6100.00,CoRoT-5 b
86,8.88659300,2.96000,Mass,1.166,2.32000,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,6090.00,CoRoT-6 b
